iter	Passed	Remaining
556	201087	159931
557	201483	159597
558	201805	159206
559	202128	158814
560	202503	158465
561	202904	158135
562	203265	157774
563	203633	157419
564	203990	157054
565	204324	156673
566	204688	156314
567	205030	155938
568	205360	155554
569	205741	155208
570	206064	154818
571	206399	154438
572	206771	154086
573	207140	153731
574	207466	153344
575	207879	153022
576	208207	152637
577	208589	152291
578	208926	151914
579	209320	151576
580	209709	151236
581	210038	150852
582	210372	150472
583	210705	150091
584	211077	149738
585	211456	149391
586	211868	149065
587	212218	148697
588	212573	148332
589	212924	147964
590	213238	147571
591	213567	147188
592	213910	146815
593	214222	146421
594	214583	146061
595	214967	145716
596	215296	145333
597	215644	144964
598	215960	144574
599	216319	144212
600	216691	143859
601	217029	143484
602	217355	143101
603	217705	142733
604	218041	142357
605	218404	141998
606	218747	141627
607	219060	141236
608	219430	140882
609	219814	140537
610	220164	140170
611	220562	139833
612	220930	139477
613	221294	139119
614	221613	138733
615	221923	138342
616	222244	137956
617	222551	137564
618	222884	137187
619	223243	136826
620	223574	136448
621	223898	136066
622	224248	135701
623	224580	135324
624	224954	134972
625	225535	134744
626	225948	134416
627	226409	134115
628	226750	133743
629	227106	133379
630	227520	133050
631	227923	132714
632	228369	132403
633	228819	132094
634	229354	131833
635	229769	131503
636	230137	131145
637	230501	130786
638	230888	130439
639	231247	130076
640	231581	129699
641	231938	129336
642	232390	129025
643	232765	128671
644	233122	128307
645	233573	127995
646	233986	127661
647	234505	127385
648	234862	127021
649	235200	126646
650	235539	126272
651	235886	125902
652	236217	125524
653	236548	125146
654	236889	124773
655	237243	124408
656	237597	124042
657	237962	123682
658	238337	123328
659	238682	122957
660	239031	122589
661	239365	122213
662	239665	121820
663	239971	121431
664	240277	121041
665	240607	120664
666	240919	120279
667	241220	119888
668	241518	119495
669	241840	119115
670	242148	118728
671	242485	118356
672	242803	117974
673	243131	117597
674	243451	117217
675	243771	116837
676	244102	116462
677	244415	116079
678	244755	115709
679	245117	115349
680	245497	114998
681	245823	114621
682	246152	114246
683	246450	113857
684	246745	113467
685	247033	113073
686	247325	112682
687	247631	112297
688	247927	111909
689	248235	111525
690	248531	111137
691	248827	110749
692	249165	110380
693	249495	110008
694	249840	109642
695	250146	109259
696	250437	108870
697	250742	108487
698	251023	108094
699	251304	107701
700	251625	107326
701	251913	106937
702	252194	106545
703	252478	106155
704	252794	105779
705	253090	105394
706	253388	105011
707	253713	104639
708	254011	104255
709	254346	103888
710	254698	103527
711	255049	103166
712	255384	102798
713	255688	102418
714	256005	102044
715	256297	101660
716	256596	101278
717	256892	100896
718	257170	100507
719	257478	100130
720	257779	99751
721	258068	99367
722	258367	98987
723	258670	98609
724	258979	98233
725	259281	97855
726	259574	97474
727	259900	97105
728	260215	96732
729	260498	96348
730	260788	95967
731	261088	95589
732	261382	95210
733	261679	94831
734	261963	94449
735	262244	94065
736	262526	93683
737	262824	93306
738	263138	92935
739	263439	92559
740	263740	92184
741	264056	91814
742	264479	91482
743	264873	91139
744	265207	90775
745	265541	90412
746	265897	90056
747	266324	89724
748	266729	89384
749	267078	89026
750	267435	88670
751	267784	88311
752	268139	87955
753	268490	87597
754	268826	87235
755	269173	86876
756	269516	86515
757	269949	86184
758	270281	85820
759	270737	85496
760	271112	85145
761	271465	84788
762	271802	84426
763	272136	84062
764	272556	83726
765	272894	83364
766	273246	83007
767	273583	82645
768	273946	82290
769	274287	81929
770	274636	81571
771	275018	81222
772	275383	80869
773	275850	80545
774	276230	80195
775	276649	79857
776	277026	79506
777	277391	79152
778	277746	78795
779	278083	78433
780	278444	78078
781	278836	77731
782	279291	77402
783	279706	77062
784	280142	76726
785	280557	76385
786	281037	76062
787	281532	75742
788	281903	75388
789	282398	75068
790	282709	74698
791	283063	74339
792	283441	73987
793	283775	73624
794	284106	73260
795	284416	72890
796	284741	72525
797	285073	72161
798	285381	71791
799	285692	71423
800	286004	71054
801	286307	70684
802	286638	70320
803	286944	69951
804	287288	69591
805	287660	69238
806	288032	68885
807	288404	68531
808	288721	68165
809	289141	67823
810	289488	67464
811	289958	67133
812	290318	66776
813	290673	66419
814	291044	66065
815	291400	65708
816	291744	65347
817	292110	64992
818	292473	64637
819	292809	64275
820	293175	63920
821	293537	63564
822	293850	63197
823	294209	62840
824	294542	62478
825	294905	62122
826	295259	61765
827	295620	61409
828	295989	61054
829	296467	60722
830	296881	60376
831	297303	60032
832	297669	59676
833	298026	59319
834	298379	58961
835	298755	58607
836	299143	58256
837	299472	57893
838	299872	57544
839	300229	57186
840	300626	56836
841	301005	56483
842	301373	56127
843	301756	55774
844	302154	55424
845	302541	55072
846	302932	54721
847	303304	54365
848	303663	54008
849	304075	53660
850	304444	53304
851	304868	52958
852	305293	52612
853	305670	52257
854	306002	51895
855	306321	51530
856	306647	51167
857	306994	50807
858	307356	50450
859	307725	50094
860	308101	49740
861	308479	49385
862	308855	49030
863	309174	48666
864	309560	48312
865	310013	47969
866	310372	47611
867	310962	47289
868	311476	46954
869	311899	46605
870	312223	46242
871	312608	45887
872	312983	45531
873	313414	45183
874	313816	44830
875	314189	44474
876	314619	44125
877	315010	43771
878	315474	43427
879	315868	43072
880	316303	42724
881	316722	42373
882	317088	42015
883	317457	41657
884	317783	41293
885	318108	40930
886	318431	40566
887	318774	40205
888	319170	39851
889	319607	39501
890	320024	39149
891	320394	38792
892	320693	38425
893	320982	38058
894	321314	37696
895	321636	37332
896	321967	36970
897	322250	36603
898	322540	36236
899	322822	35869
900	323107	35502
901	323445	35141
902	323748	34776
903	324041	34411
904	324346	34047
905	324686	33687
906	325058	33330
907	325371	32967
908	325677	32603
909	325970	32238
910	326261	31874
911	326540	31508
912	326854	31146
913	327213	30788
914	327497	30423
915	327786	30058
916	328074	29694
917	328360	29330
918	328647	28966
919	328940	28603
920	329230	28240
921	329534	27878
922	329856	27517
923	330169	27156
924	330502	26797
925	330796	26435
926	331110	26074
927	331397	25711
928	331679	25348
929	331978	24987
930	332285	24626
931	332610	24267
932	332891	23905
933	333197	23545
934	333524	23186
935	333810	22824
936	334132	22465
937	334453	22106
938	334821	21750
939	335126	21391
940	335446	21032
941	335757	20672
942	336109	20316
943	336413	19956
944	336720	19597
945	337019	19237
946	337322	18878
947	337622	18519
948	337945	18161
949	338274	17803
950	338580	17445
951	338877	17086
952	339221	16729
953	339574	16373
954	339983	16020
955	340279	15661
956	340566	15302
957	340860	14943
958	341141	14584
959	341448	14227
960	341752	13869
961	342069	13512
962	342395	13155
963	342780	12800
964	343114	12444
965	343454	12088
966	343788	11732
967	344112	11375
968	344439	11019
969	344782	10663
970	345087	10306
971	345372	9949
